,from,to,cost
0,0.0,1.0,0.534683319081213
1,0.0,2.0,0.7481340219593741
2,0.0,3.0,0.8707349214943458
3,0.0,4.0,0.775136390521823
4,0.0,5.0,0.8763884367350394
5,0.0,6.0,-0.2682717849101058
6,0.0,7.0,0.5360376150213153
7,0.0,8.0,0.7423418289252698
8,0.0,9.0,0.7581647758588789
9,0.0,10.0,0.878288437051584
10,0.0,11.0,0.8560655305352649
11,0.0,12.0,0.6695059803249162
12,0.0,13.0,0.7616915979326778
13,0.0,14.0,0.9087050659420363
14,0.0,15.0,0.8928985377485383
15,0.0,16.0,0.7960590314898891
16,0.0,17.0,0.43049943636448146
17,0.0,18.0,0.8340304688474922
18,0.0,19.0,0.6245234148051017
19,0.0,20.0,0.37544621118087634
20,0.0,21.0,0.3835169810785413
21,0.0,22.0,-0.26543748795885286
22,0.0,23.0,0.5351704038654773
23,0.0,24.0,0.7831019171597918
24,0.0,25.0,0.6163700375419378
25,0.0,26.0,0.1849407136944441
26,0.0,27.0,0.4202369660602315
27,0.0,28.0,0.4993294215124842
28,0.0,29.0,0.11726411326928086
29,0.0,30.0,0.24877375690541229
30,0.0,31.0,0.3294399104184708
31,0.0,32.0,0.894902155584496
32,0.0,33.0,-0.2628155024501189
33,0.0,34.0,0.7694110481648364
34,0.0,35.0,-0.14806059337090827
35,0.0,36.0,-0.00946449472290793
36,0.0,37.0,0.1319751001593668
37,0.0,38.0,0.2751964117005586
38,0.0,39.0,0.06938592965421513
39,0.0,40.0,0.4512205454947923
40,0.0,41.0,-0.04334605308164496
41,0.0,42.0,0.4519272783606626
42,0.0,43.0,0.7708503286937776
43,0.0,44.0,0.7584155250882343
44,0.0,45.0,0.5478545685098044
45,0.0,46.0,0.7118596604819649
46,0.0,47.0,0.13256478207025152
47,0.0,48.0,-0.3079331095513125
48,0.0,49.0,0.4124775642059324
49,0.0,50.0,0.07439603349647192
50,0.0,51.0,-0.5740666324268556
51,0.0,52.0,-0.18056617524472454
52,0.0,53.0,0.6851913552850756
53,0.0,54.0,0.5074039728384487
54,0.0,55.0,0.629848009223525
55,0.0,56.0,0.6007601341926703
56,0.0,57.0,0.20006795444038825
57,0.0,58.0,-0.3122487158767849
58,0.0,59.0,-0.13930005851649074
59,0.0,60.0,0.06456861372435276
60,0.0,61.0,-0.4590740324441498
61,0.0,62.0,-0.1613546904862539
62,0.0,63.0,-0.02200862731521134
63,0.0,64.0,0.1406677751748199
64,0.0,65.0,-0.18660139445467805
65,0.0,66.0,-0.2106065723713392
66,0.0,67.0,-0.10670051341665744
67,0.0,68.0,0.20667271573085372
68,0.0,69.0,-0.07722484869683734
69,0.0,70.0,-0.012135755964083908
70,0.0,71.0,0.1506013288456958
71,0.0,72.0,0.24087721761376227
72,0.0,73.0,0.6256046729501991
73,0.0,74.0,-0.27717958974216905
74,0.0,75.0,0.03280644392479693
75,0.0,76.0,0.01048091022966505
76,0.0,77.0,0.08882546184034247
77,0.0,78.0,0.06435578403947381
78,0.0,79.0,0.34071580282961206
79,0.0,80.0,0.7834930209136006
80,0.0,81.0,0.3375366808837765
81,0.0,82.0,-0.2241924719435626
82,0.0,83.0,0.5933318479244942
83,0.0,84.0,0.3169605154042742
84,0.0,85.0,-0.1040664169970992
85,0.0,86.0,0.7145579540218276
86,0.0,87.0,0.6156609243681892
87,0.0,88.0,0.22877516500264683
88,0.0,89.0,0.5937719537074788
89,0.0,90.0,0.34384477652148876
90,0.0,91.0,0.03159953712909058
91,0.0,92.0,0.17089509429772018
92,0.0,93.0,0.12018477143040238
93,0.0,94.0,-0.05714596905810297
94,0.0,95.0,-0.23029489382368842
95,0.0,96.0,-0.36593580530935776
96,0.0,97.0,0.22282997678061894
97,0.0,98.0,0.4272413655341179
98,0.0,99.0,-0.2607509700424507
99,0.0,100.0,0.6161040071122706
100,0.0,101.0,0.8218503260879251
101,0.0,102.0,0.5167392832866506
102,0.0,103.0,-0.04779399886636259
103,0.0,104.0,0.3092726426774199
104,0.0,105.0,0.47602428612071973
105,0.0,106.0,-0.1827700697775797
106,0.0,107.0,0.5972087763674007
107,0.0,108.0,0.5985019585022742
108,0.0,109.0,0.6917151905155196
109,0.0,110.0,0.21342711272752563
110,0.0,111.0,0.13738882735983282
111,0.0,112.0,0.11609435188858346
112,0.0,113.0,-0.014581106926058846
113,0.0,114.0,0.1327144767689024
114,0.0,115.0,0.5246443759379628
115,0.0,116.0,-0.08672688407525375
116,0.0,117.0,-0.047247559409605275
117,0.0,118.0,-0.0051929308670421925
118,0.0,119.0,0.10129550324335822
119,0.0,120.0,0.814743946664773
120,0.0,121.0,-0.1853094450513271
121,0.0,122.0,0.1158451341014969
122,0.0,123.0,0.4454085779441047
123,0.0,124.0,0.5924005325856218
124,0.0,125.0,0.08646141257121877
125,0.0,126.0,0.3889579814299588
126,0.0,127.0,-0.1332731441059631
127,0.0,128.0,-0.001966332700751767
128,0.0,129.0,0.34918254107707547
129,0.0,130.0,0.48584060769197285
130,0.0,131.0,-0.4203319241755553
131,0.0,132.0,0.44345722483797406
132,0.0,133.0,0.6300575640735792
133,0.0,134.0,0.0766041601346728
134,0.0,135.0,0.1855238601322428
135,0.0,136.0,0.4869497262144589
136,0.0,137.0,0.5885774399035297
137,0.0,138.0,0.28261401767336786
138,0.0,139.0,-0.19585938985995793
139,0.0,140.0,0.5458164973727617
140,0.0,141.0,0.5920454951900533
141,0.0,142.0,0.08433926456878128
142,0.0,143.0,0.3843109279564571
143,0.0,144.0,-0.11679998017794058
144,0.0,145.0,0.5548273458892888
145,0.0,146.0,0.6544694051743809
146,0.0,147.0,0.48554986298258057
147,0.0,148.0,-0.2785050903465665
148,0.0,149.0,0.04137509546094736
149,0.0,150.0,0.1861398134569414
150,0.0,151.0,0.37376454904572204
151,0.0,152.0,-0.30012702850145107
152,0.0,153.0,0.7155696848831502
153,0.0,154.0,0.5030979725458818
154,0.0,155.0,0.12480640835003416
155,0.0,156.0,0.4838436246587341
156,0.0,157.0,-0.0023858343594023762
157,0.0,158.0,0.5505403005461268
158,0.0,159.0,-0.20538117965482994
159,0.0,160.0,0.5369688928504763
160,0.0,161.0,0.38205147266868356
161,0.0,162.0,-0.3357258711686583
162,0.0,163.0,0.12910576073374325
163,0.0,164.0,0.05099207848858109
164,0.0,165.0,0.6322026233248144
165,0.0,166.0,0.5461140216522038
166,0.0,167.0,0.20596638298373846
167,0.0,168.0,0.018219809784330306
168,0.0,169.0,0.017684112424688068
169,0.0,170.0,-0.08928410468890463
170,0.0,171.0,-0.1719008971345123
171,1.0,0.0,0.5346833190812131
172,1.0,2.0,0.46209726266587087
173,1.0,3.0,0.6355691236487332
174,1.0,4.0,0.6259147054402497
175,1.0,5.0,0.6150499811393277
176,1.0,6.0,0.25417019429484233
177,1.0,7.0,0.5474985166049772
178,1.0,8.0,0.5121882948387199
179,1.0,9.0,0.5766560960910673
180,1.0,10.0,0.5865267485540435
181,1.0,11.0,0.6408858106847138
182,1.0,12.0,0.6244480527248273
183,1.0,13.0,0.6886499044352103
184,1.0,14.0,0.5786587547409912
185,1.0,15.0,0.4902387554465891
186,1.0,16.0,0.548176328392874
187,1.0,17.0,0.6102792635415615
188,1.0,18.0,0.5886491942735413
189,1.0,19.0,0.5345673981900203
190,1.0,20.0,0.4319307237750697
191,1.0,21.0,0.6634546769628906
192,1.0,22.0,-0.048060745776137385
193,1.0,23.0,0.6550811815606072
194,1.0,24.0,0.4326385032920584
195,1.0,25.0,0.698334030011962
196,1.0,26.0,0.517000733242864
197,1.0,27.0,0.49097613732518236
198,1.0,28.0,0.5035603940245434
199,1.0,29.0,0.44098580571071
200,1.0,30.0,0.45690406064723166
201,1.0,31.0,0.5809989464413016
202,1.0,32.0,0.4509062003527251
203,1.0,33.0,-0.015585506773119904
204,1.0,34.0,0.6982610481132162
205,1.0,35.0,0.14040797315021977
206,1.0,36.0,0.40763441034891335
207,1.0,37.0,0.15370113174635555
208,1.0,38.0,0.3912640062470194
209,1.0,39.0,0.40051798105478703
210,1.0,40.0,0.5767312206295928
211,1.0,41.0,0.049651437969838105
212,1.0,42.0,0.6370612393990089
213,1.0,43.0,0.4813589628171097
214,1.0,44.0,0.6225682094894357
215,1.0,45.0,0.3177106435632814
216,1.0,46.0,0.5667824100246517
217,1.0,47.0,0.2204333400837169
218,1.0,48.0,0.09476918255424235
219,1.0,49.0,0.570879649812379
220,1.0,50.0,0.4410466433620558
221,1.0,51.0,-0.29645025015561216
222,1.0,52.0,0.14986338404456995
223,1.0,53.0,0.3249516256292096
224,1.0,54.0,0.5802285934892853
225,1.0,55.0,0.6760675709288786
226,1.0,56.0,0.5510586204241509
227,1.0,57.0,0.4789843783163976
228,1.0,58.0,0.13443385296539467
229,1.0,59.0,-0.2036041738877987
230,1.0,60.0,-0.02470952041078164
231,1.0,61.0,-0.233884094500315
232,1.0,62.0,-0.10143021993121307
233,1.0,63.0,0.1265500362695273
234,1.0,64.0,0.5319896603645057
235,1.0,65.0,0.03323724059592089
236,1.0,66.0,0.34318695770176344
237,1.0,67.0,0.003924001100041778
238,1.0,68.0,0.3395119278448645
239,1.0,69.0,0.13019142252167185
240,1.0,70.0,0.23386379128454293
241,1.0,71.0,0.14566048428206518
242,1.0,72.0,0.3900775933533348
243,1.0,73.0,0.5809967596208767
244,1.0,74.0,-0.18005366026454037
245,1.0,75.0,0.12593579679663688
246,1.0,76.0,0.06754244320807325
247,1.0,77.0,0.2647074314986215
248,1.0,78.0,0.44889983455742344
249,1.0,79.0,0.46972066610810037
250,1.0,80.0,0.5093898391099555
251,1.0,81.0,0.3610314654608072
252,1.0,82.0,-0.04854620851168828
253,1.0,83.0,0.6213087948797118
254,1.0,84.0,0.5846223860589801
255,1.0,85.0,-0.10334674358033376
256,1.0,86.0,0.6765397357561626
257,1.0,87.0,0.46975543018499144
258,1.0,88.0,0.5363985422941521
259,1.0,89.0,0.49275346320413804
260,1.0,90.0,0.22515549318356717
261,1.0,91.0,-0.09456277840270179
262,1.0,92.0,-0.09159428457951732
263,1.0,93.0,0.24917226842632528
264,1.0,94.0,0.018848237190437434
265,1.0,95.0,0.18509769991363087
266,1.0,96.0,0.17327035413218794
267,1.0,97.0,0.521575807165109
268,1.0,98.0,0.617894837648801
269,1.0,99.0,0.08503770470512197
270,1.0,100.0,0.5737025344241015
271,1.0,101.0,0.5338652398993624
272,1.0,102.0,0.4319162083368596
273,1.0,103.0,-0.016012561652004355
274,1.0,104.0,0.5822889962931254
275,1.0,105.0,0.29558782038960335
276,1.0,106.0,0.12126892748350446
277,1.0,107.0,0.46055539258445344
278,1.0,108.0,0.3721613366847563
279,1.0,109.0,0.43451220345299574
280,1.0,110.0,0.24943584492884677
281,1.0,111.0,0.4777098061721648
282,1.0,112.0,0.49172959071683997
283,1.0,113.0,0.17251848618196053
284,1.0,114.0,0.2084746288921712
285,1.0,115.0,0.5927657599223999
286,1.0,116.0,0.37783913841317973
287,1.0,117.0,0.16251381805259224
288,1.0,118.0,0.27578338514832296
289,1.0,119.0,0.4953077302433533
290,1.0,120.0,0.5855831874592686
291,1.0,121.0,0.12434105281503592
292,1.0,122.0,0.41966559440012013
293,1.0,123.0,0.3087743903202663
294,1.0,124.0,0.35603587906460815
